Model,R2 Score,MSE,MAE,task,Accuracy,Precision,Recall,F1-Score
Linear Regression,1.0,1.5534523354398252e-28,9.225810231977284e-15,regression,,,,
Ridge Regression,0.999999997650907,4.78963068309224e-07,0.000568166894728847,regression,,,,
Lasso Regression,0.9999995087547048,0.00010016136119461335,0.008120807087061768,regression,,,,
Decision Tree,0.9999998888585475,2.2660937981544676e-05,0.0001359656279490621,regression,,,,
Random Forest,0.9999999266244131,1.4960751255419165e-05,0.000168597378623405,regression,,,,
Logistic Regression,,,,classification,0.9998368412465328,1.0,0.9996766892984158,0.9998383185125304
Decision Tree Classifier,,,,classification,1.0,1.0,1.0,1.0
Random Forest Classifier,,,,classification,1.0,1.0,1.0,1.0
